,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Incomplete_Rides,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images,Booking_Date,Booking_Time,Booking_Month,Total_Revenue,Total_Bookings
25,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,No,286,UPI,44,4.0,3.3,#NAME?,2024-07-19,21:18:00,7,11148671,20407
26,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,No,141,UPI,35,4.7,3.1,#NAME?,2024-07-25,03:44:00,7,11148671,20407
27,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,No,214,UPI,2,3.3,4.5,#NAME?,2024-07-15,17:11:00,7,11148671,20407
28,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,No,2183,Cash,20,4.0,4.4,#NAME?,2024-07-30,19:44:00,7,11148671,20407
29,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,,604,,0,,,#NAME?,2024-07-21,08:26:00,7,11148671,20407
30,CNR2998177390,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,,802,,0,,,#NAME?,2024-07-23,07:04:00,7,11148671,20407
31,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,No,1095,Cash,38,4.8,4.7,#NAME?,2024-07-27,06:18:00,7,11148671,20407
32,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,,120,,0,,,#NAME?,2024-07-23,10:17:00,7,11148671,20407
33,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,No,241,Cash,33,3.2,3.5,#NAME?,2024-07-23,12:56:00,7,11148671,20407
34,CNR4094067439,Success,CID896062,Prime Sedan,Majestic,Jayanagar,No,475,Cash,45,4.3,3.1,#NAME?,2024-07-08,11:52:00,7,11148671,20407
35,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,No,461,UPI,49,4.5,3.1,#NAME?,2024-07-14,05:25:00,7,11148671,20407
36,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,,783,,0,,,#NAME?,2024-07-23,09:33:00,7,11148671,20407
37,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,,995,,0,,,#NAME?,2024-07-03,16:16:00,7,11148671,20407
38,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,Yes,1102,UPI,41,3.1,3.5,#NAME?,2024-07-03,00:58:00,7,11148671,20407
39,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,,170,,0,,,#NAME?,2024-07-24,17:31:00,7,11148671,20407
40,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,No,444,UPI,6,3.8,4.9,#NAME?,2024-07-10,21:56:00,7,11148671,20407
41,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,,1130,,0,,,#NAME?,2024-07-20,15:30:00,7,11148671,20407
42,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,No,876,Cash,21,4.7,3.3,#NAME?,2024-07-11,03:22:00,7,11148671,20407
43,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,No,680,UPI,24,4.7,3.8,#NAME?,2024-07-06,15:02:00,7,11148671,20407
44,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,No,425,Cash,11,3.5,4.6,#NAME?,2024-07-05,20:28:00,7,11148671,20407
45,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,No,989,Cash,4,4.5,4.2,#NAME?,2024-07-11,11:28:00,7,11148671,20407
46,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,,594,,0,,,#NAME?,2024-07-16,16:25:00,7,11148671,20407
47,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,No,443,Cash,5,3.4,3.1,#NAME?,2024-07-12,18:02:00,7,11148671,20407
48,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,No,721,Cash,19,3.8,4.7,#NAME?,2024-07-16,22:35:00,7,11148671,20407
49,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,Yes,2936,Cash,34,4.1,4.6,#NAME?,2024-07-26,13:20:00,7,11148671,20407
50,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,No,747,Cash,25,5.0,3.5,#NAME?,2024-07-25,03:33:00,7,11148671,20407
51,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,No,799,UPI,25,3.9,4.7,#NAME?,2024-07-17,03:30:00,7,11148671,20407
52,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,No,300,Cash,14,3.3,4.6,#NAME?,2024-07-07,05:59:00,7,11148671,20407
53,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,,162,,0,,,#NAME?,2024-07-01,02:21:00,7,11148671,20407
54,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,No,618,UPI,30,3.5,3.7,#NAME?,2024-07-01,02:45:00,7,11148671,20407
55,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,No,251,UPI,9,5.0,4.4,#NAME?,2024-07-02,04:17:00,7,11148671,20407
56,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,,543,,0,,,#NAME?,2024-07-13,02:27:00,7,11148671,20407
57,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,No,724,Cash,11,4.5,4.8,#NAME?,2024-07-25,10:57:00,7,11148671,20407
58,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,No,316,UPI,27,3.1,4.7,#NAME?,2024-07-18,00:37:00,7,11148671,20407
59,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,No,138,UPI,24,5.0,3.0,#NAME?,2024-07-22,13:08:00,7,11148671,20407
60,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,No,467,Cash,24,4.5,4.2,#NAME?,2024-07-15,07:21:00,7,11148671,20407
61,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,,565,,0,,,#NAME?,2024-07-19,10:29:00,7,11148671,20407
62,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,,276,,0,,,#NAME?,2024-07-07,16:56:00,7,11148671,20407
63,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,No,296,UPI,5,4.0,4.3,#NAME?,2024-07-06,01:18:00,7,11148671,20407
64,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,,1310,,0,,,#NAME?,2024-07-04,15:32:00,7,11148671,20407
65,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,,771,,0,,,#NAME?,2024-07-26,17:17:00,7,11148671,20407
66,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,No,279,Cash,43,4.3,3.4,#NAME?,2024-07-01,02:55:00,7,11148671,20407
67,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,No,321,Cash,39,3.3,4.7,#NAME?,2024-07-22,16:24:00,7,11148671,20407
68,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,No,457,Cash,1,4.1,3.4,#NAME?,2024-07-21,19:56:00,7,11148671,20407
69,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,No,139,Cash,45,4.9,3.8,#NAME?,2024-07-05,13:55:00,7,11148671,20407
70,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,Yes,685,UPI,7,4.1,4.9,#NAME?,2024-07-29,19:40:00,7,11148671,20407
71,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,,150,,0,,,#NAME?,2024-07-15,21:19:00,7,11148671,20407
72,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,No,196,UPI,21,4.3,3.4,#NAME?,2024-07-16,13:15:00,7,11148671,20407
73,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,,424,,0,,,#NAME?,2024-07-14,11:37:00,7,11148671,20407
74,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,,827,,0,,,#NAME?,2024-07-11,21:40:00,7,11148671,20407
75,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,No,770,Cash,27,3.3,4.3,#NAME?,2024-07-14,04:15:00,7,11148671,20407
76,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,,325,,0,,,#NAME?,2024-07-17,07:30:00,7,11148671,20407
77,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,No,986,Cash,18,4.6,4.8,#NAME?,2024-07-04,14:43:00,7,11148671,20407
78,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,No,2208,Cash,40,4.0,4.5,#NAME?,2024-07-29,14:56:00,7,11148671,20407
79,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,No,1695,UPI,20,4.5,4.7,#NAME?,2024-07-17,19:55:00,7,11148671,20407
80,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,,305,,0,,,#NAME?,2024-07-20,10:58:00,7,11148671,20407
81,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,No,2271,Cash,37,3.4,4.2,#NAME?,2024-07-08,09:18:00,7,11148671,20407
82,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,No,240,UPI,4,4.0,4.9,#NAME?,2024-07-07,01:31:00,7,11148671,20407
83,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,No,482,Cash,37,4.4,3.9,#NAME?,2024-07-30,01:20:00,7,11148671,20407
84,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,No,536,UPI,17,3.9,4.4,#NAME?,2024-07-03,11:25:00,7,11148671,20407
85,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,No,188,UPI,37,4.9,4.1,#NAME?,2024-07-11,10:44:00,7,11148671,20407
86,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,,202,,0,,,#NAME?,2024-07-22,18:17:00,7,11148671,20407
87,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,,1609,,0,,,#NAME?,2024-07-21,06:54:00,7,11148671,20407
88,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,,1821,,0,,,#NAME?,2024-07-22,00:21:00,7,11148671,20407
89,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,No,415,UPI,22,3.6,3.1,#NAME?,2024-07-26,09:39:00,7,11148671,20407
90,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,No,2125,UPI,6,3.8,4.6,#NAME?,2024-07-26,06:06:00,7,11148671,20407
91,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,,758,,0,,,#NAME?,2024-07-03,15:04:00,7,11148671,20407
92,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,,653,,0,,,#NAME?,2024-07-07,09:55:00,7,11148671,20407
93,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,Yes,704,Cash,42,4.7,4.8,#NAME?,2024-07-22,12:51:00,7,11148671,20407
94,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,No,385,Cash,19,4.1,3.7,#NAME?,2024-07-19,04:48:00,7,11148671,20407
95,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,No,934,UPI,12,3.3,5.0,#NAME?,2024-07-01,05:03:00,7,11148671,20407
96,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,,615,,0,,,#NAME?,2024-07-23,04:01:00,7,11148671,20407
97,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,No,2202,Cash,44,4.7,3.4,#NAME?,2024-07-26,08:22:00,7,11148671,20407
98,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,No,205,Cash,43,4.1,3.1,#NAME?,2024-07-05,12:36:00,7,11148671,20407
99,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,,513,,0,,,#NAME?,2024-07-18,07:21:00,7,11148671,20407
100,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,No,247,Cash,8,3.1,3.3,#NAME?,2024-07-21,08:21:00,7,11148671,20407
101,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,Yes,558,UPI,41,3.2,3.2,#NAME?,2024-07-13,02:55:00,7,11148671,20407
102,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,No,291,UPI,5,3.8,3.3,#NAME?,2024-07-08,07:56:00,7,11148671,20407
103,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,No,925,Cash,22,3.0,4.0,#NAME?,2024-07-22,04:32:00,7,11148671,20407
104,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,No,121,Cash,44,3.8,4.5,#NAME?,2024-07-24,21:58:00,7,11148671,20407
105,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,,404,,0,,,#NAME?,2024-07-21,03:13:00,7,11148671,20407
106,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,,223,,0,,,#NAME?,2024-07-29,12:44:00,7,11148671,20407
107,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,,2989,,0,,,#NAME?,2024-07-15,08:31:00,7,11148671,20407
108,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,No,728,Cash,14,4.3,5.0,#NAME?,2024-07-01,11:01:00,7,11148671,20407
109,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,No,2416,UPI,49,3.1,3.8,#NAME?,2024-07-11,10:50:00,7,11148671,20407
110,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,,371,,0,,,#NAME?,2024-07-30,10:02:00,7,11148671,20407
111,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,No,258,Cash,32,4.7,4.1,#NAME?,2024-07-07,18:36:00,7,11148671,20407
112,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,,170,,0,,,#NAME?,2024-07-27,23:48:00,7,11148671,20407
113,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,,151,,0,,,#NAME?,2024-07-16,15:25:00,7,11148671,20407
114,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,,425,,0,,,#NAME?,2024-07-26,21:02:00,7,11148671,20407
115,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,No,220,UPI,2,3.4,3.1,#NAME?,2024-07-04,03:31:00,7,11148671,20407
116,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,No,472,UPI,16,3.3,4.5,#NAME?,2024-07-16,10:15:00,7,11148671,20407
117,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,,616,,0,,,#NAME?,2024-07-20,22:27:00,7,11148671,20407
118,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,No,473,Cash,49,4.0,4.2,#NAME?,2024-07-15,09:20:00,7,11148671,20407
119,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,No,259,Cash,11,4.8,4.5,#NAME?,2024-07-04,18:13:00,7,11148671,20407
120,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,No,310,Credit Card,2,3.3,3.1,#NAME?,2024-07-27,11:58:00,7,11148671,20407
121,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,,200,,0,,,#NAME?,2024-07-09,21:32:00,7,11148671,20407
122,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,No,471,UPI,39,3.5,3.7,#NAME?,2024-07-30,10:14:00,7,11148671,20407
123,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,No,442,UPI,37,4.1,4.5,#NAME?,2024-07-13,21:23:00,7,11148671,20407
124,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,No,228,Cash,10,3.7,4.3,#NAME?,2024-07-29,19:56:00,7,11148671,20407
125,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,,232,,0,,,#NAME?,2024-07-24,09:25:00,7,11148671,20407
126,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,,344,,0,,,#NAME?,2024-07-29,23:15:00,7,11148671,20407
127,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,No,2604,UPI,10,3.8,4.1,#NAME?,2024-07-08,07:52:00,7,11148671,20407
128,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,No,274,Cash,37,3.1,3.6,#NAME?,2024-07-16,04:52:00,7,11148671,20407
129,CNR1281921513,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,,895,,0,,,#NAME?,2024-07-09,13:07:00,7,11148671,20407
130,CNR2959980296,Success,CID509309,Bike,Hosur Road,Richmond Town,No,279,Cash,34,4.5,3.2,#NAME?,2024-07-26,16:05:00,7,11148671,20407
131,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,No,1946,Cash,16,3.0,3.5,#NAME?,2024-07-26,23:32:00,7,11148671,20407
132,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,No,1024,UPI,4,4.8,4.1,#NAME?,2024-07-05,04:23:00,7,11148671,20407
133,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Frazer Town,Sarjapur Road,,294,,0,,,#NAME?,2024-07-23,10:25:00,7,11148671,20407
134,CNR8116331340,Success,CID777382,Auto,RT Nagar,Sarjapur Road,No,252,UPI,8,4.0,4.8,#NAME?,2024-07-23,19:44:00,7,11148671,20407
135,CNR3491700602,Success,CID247449,Mini,Richmond Town,Langford Town,No,2542,UPI,2,3.5,4.1,#NAME?,2024-07-28,10:29:00,7,11148671,20407
136,CNR2166456022,Success,CID930312,Mini,Yeshwanthpur,Indiranagar,No,1821,Cash,34,4.4,4.7,#NAME?,2024-07-19,15:04:00,7,11148671,20407
137,CNR2177201692,Success,CID614111,Mini,Richmond Town,Yeshwanthpur,No,200,Cash,31,4.9,4.0,#NAME?,2024-07-12,08:33:00,7,11148671,20407
138,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Koramangala,Indiranagar,,152,,0,,,#NAME?,2024-07-16,10:22:00,7,11148671,20407
139,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,No,2388,Cash,4,4.4,3.6,#NAME?,2024-07-25,11:15:00,7,11148671,20407
140,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,No,783,Cash,37,3.5,3.5,#NAME?,2024-07-28,06:34:00,7,11148671,20407
141,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Electronic City,KR Puram,,208,,0,,,#NAME?,2024-07-03,20:56:00,7,11148671,20407
142,CNR2976802436,Success,CID592039,Prime SUV,Tumkur Road,Cox Town,No,1181,UPI,10,3.4,4.9,#NAME?,2024-07-17,07:28:00,7,11148671,20407
143,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,HSR Layout,KR Puram,,843,,0,,,#NAME?,2024-07-01,03:29:00,7,11148671,20407
144,CNR1945536909,Success,CID796614,Auto,Sahakar Nagar,JP Nagar,No,441,Cash,7,3.0,3.1,#NAME?,2024-07-20,13:53:00,7,11148671,20407
145,CNR8097291227,Success,CID734844,Prime Plus,Mysore Road,Rajajinagar,No,332,UPI,38,3.8,3.4,#NAME?,2024-07-10,02:02:00,7,11148671,20407
146,CNR1433815646,Success,CID307267,Prime SUV,Banashankari,Marathahalli,No,832,Cash,11,3.4,4.1,#NAME?,2024-07-12,16:22:00,7,11148671,20407
147,CNR5876056264,Success,CID568720,Prime SUV,Kadugodi,Shantinagar,No,1361,UPI,47,4.0,3.9,#NAME?,2024-07-15,06:58:00,7,11148671,20407
148,CNR2943788515,Canceled by Driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,,415,,0,,,#NAME?,2024-07-04,21:47:00,7,11148671,20407
149,CNR5599931622,Success,CID822709,Prime SUV,Peenya,Frazer Town,No,747,Cash,28,3.8,3.0,#NAME?,2024-07-28,07:06:00,7,11148671,20407
150,CNR6776927575,Success,CID817693,Bike,Hosur Road,Nagarbhavi,No,129,Cash,5,4.4,4.2,#NAME?,2024-07-02,01:54:00,7,11148671,20407
151,CNR4880622143,Success,CID602848,eBike,Rajajinagar,Kammanahalli,No,296,UPI,34,3.3,4.2,#NAME?,2024-07-10,18:38:00,7,11148671,20407
152,CNR2841702950,Success,CID268274,Auto,Sarjapur Road,Sarjapur Road,No,337,UPI,18,4.5,4.2,#NAME?,2024-07-27,03:13:00,7,11148671,20407
153,CNR2747846957,Success,CID700413,Prime Sedan,Majestic,Malleshwaram,No,896,UPI,45,4.0,4.1,#NAME?,2024-07-09,14:52:00,7,11148671,20407
154,CNR4795488474,Success,CID943263,Prime Sedan,Peenya,Frazer Town,No,151,Credit Card,11,4.0,4.8,#NAME?,2024-07-05,09:33:00,7,11148671,20407
155,CNR6662649739,Success,CID295666,Auto,Ramamurthy Nagar,Banashankari,No,940,Debit Card,7,3.2,3.5,#NAME?,2024-07-06,10:00:00,7,11148671,20407
156,CNR2524442918,Success,CID471692,Prime Plus,Hulimavu,RT Nagar,No,729,Credit Card,13,4.5,5.0,#NAME?,2024-07-10,09:28:00,7,11148671,20407
157,CNR4977956798,Success,CID782900,Auto,Banashankari,Sarjapur Road,No,128,Cash,1,4.6,4.8,#NAME?,2024-07-01,10:12:00,7,11148671,20407
158,CNR2002215420,Success,CID109502,Prime SUV,Whitefield,BTM Layout,No,274,Cash,42,4.0,3.4,#NAME?,2024-07-26,15:07:00,7,11148671,20407
159,CNR9590311980,Success,CID957268,Auto,Bannerghatta Road,Tumkur Road,Yes,352,Cash,8,5.0,3.8,#NAME?,2024-07-13,04:23:00,7,11148671,20407
160,CNR3124565731,Success,CID578023,Auto,Basavanagudi,Chickpet,No,238,UPI,6,4.5,3.0,#NAME?,2024-07-30,05:14:00,7,11148671,20407
161,CNR6090870401,Success,CID301446,Prime SUV,Ramamurthy Nagar,KR Puram,No,477,Cash,19,4.1,4.3,#NAME?,2024-07-20,11:34:00,7,11148671,20407
162,CNR9405757355,Success,CID176162,Auto,Richmond Town,Banashankari,No,186,UPI,15,4.7,4.6,#NAME?,2024-07-23,15:38:00,7,11148671,20407
163,CNR7078608984,Driver Not Found,CID926832,eBike,Shantinagar,Hebbal,,117,,0,,,#NAME?,2024-07-01,11:55:00,7,11148671,20407
164,CNR4166475803,Success,CID615978,Prime SUV,Banashankari,Yelahanka,No,193,UPI,13,3.8,3.2,#NAME?,2024-07-10,18:52:00,7,11148671,20407
